ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.rendimiento09	rendimiento09	1591090547686	 	3.3.1
REQUEST	13		Login	1591090555510	1591090555512	OK	 
REQUEST	51		Home	1591090555510	1591090555516	OK	 
USER	rendimiento09	52	START	1591090555626	1591090555626
REQUEST	52		Home	1591090555628	1591090555640	OK	 
REQUEST	14		Login	1591090555648	1591090555653	OK	 
USER	rendimiento09	53	START	1591090555759	1591090555759
REQUEST	53		Home	1591090555761	1591090555771	OK	 
REQUEST	15		Login	1591090555772	1591090555776	OK	 
USER	rendimiento09	54	START	1591090555878	1591090555878
REQUEST	54		Home	1591090555880	1591090555891	OK	 
REQUEST	16		Login	1591090555929	1591090555930	OK	 
USER	rendimiento09	55	START	1591090556021	1591090556021
REQUEST	55		Home	1591090556023	1591090556035	OK	 
REQUEST	17		Login	1591090556049	1591090556053	OK	 
USER	rendimiento09	56	START	1591090556171	1591090556171
REQUEST	18		Login	1591090556173	1591090556180	OK	 
REQUEST	56		Home	1591090556174	1591090556188	OK	 
REQUEST	19		Login	1591090556291	1591090556294	OK	 
USER	rendimiento09	57	START	1591090556310	1591090556310
REQUEST	57		Home	1591090556312	1591090556323	OK	 
REQUEST	20		Login	1591090556407	1591090556409	OK	 
USER	rendimiento09	58	START	1591090556446	1591090556446
REQUEST	58		Home	1591090556449	1591090556460	OK	 
REQUEST	21		Login	1591090556550	1591090556552	OK	 
USER	rendimiento09	59	START	1591090556600	1591090556600
REQUEST	59		Home	1591090556600	1591090556607	OK	 
REQUEST	22		Login	1591090556667	1591090556670	OK	 
USER	rendimiento09	60	START	1591090556737	1591090556737
REQUEST	60		Home	1591090556739	1591090556750	OK	 
REQUEST	23		Login	1591090556778	1591090556780	OK	 
USER	rendimiento09	61	START	1591090556879	1591090556879
REQUEST	61		Home	1591090556881	1591090556892	OK	 
REQUEST	24		Login	1591090556921	1591090556923	OK	 
USER	rendimiento09	62	START	1591090557006	1591090557006
REQUEST	62		Home	1591090557008	1591090557019	OK	 
REQUEST	25		Login	1591090557058	1591090557062	OK	 
USER	rendimiento09	63	START	1591090557131	1591090557131
REQUEST	63		Home	1591090557133	1591090557170	OK	 
REQUEST	26		Login	1591090557187	1591090557189	OK	 
USER	rendimiento09	64	START	1591090557258	1591090557258
REQUEST	64		Home	1591090557259	1591090557266	OK	 
REQUEST	27		Login	1591090557331	1591090557334	OK	 
USER	rendimiento09	65	START	1591090557381	1591090557381
REQUEST	65		Home	1591090557383	1591090557392	OK	 
REQUEST	28		Login	1591090557480	1591090557484	OK	 
USER	rendimiento09	66	START	1591090557510	1591090557510
REQUEST	66		Home	1591090557512	1591090557523	OK	 
REQUEST	29		Login	1591090557618	1591090557622	OK	 
USER	rendimiento09	67	START	1591090557627	1591090557627
REQUEST	67		Home	1591090557628	1591090557633	OK	 
USER	rendimiento09	68	START	1591090557759	1591090557759
REQUEST	68		Home	1591090557760	1591090557764	OK	 
REQUEST	30		Login	1591090557781	1591090557782	OK	 
USER	rendimiento09	69	START	1591090557876	1591090557876
REQUEST	69		Home	1591090557878	1591090557888	OK	 
REQUEST	31		Login	1591090557897	1591090557901	OK	 
USER	rendimiento09	70	START	1591090558030	1591090558030
REQUEST	70		Home	1591090558032	1591090558043	OK	 
REQUEST	32		Login	1591090558052	1591090558055	OK	 
REQUEST	33		Login	1591090558158	1591090558162	OK	 
USER	rendimiento09	71	START	1591090558167	1591090558167
REQUEST	71		Home	1591090558169	1591090558178	OK	 
REQUEST	34		Login	1591090558291	1591090558294	OK	 
USER	rendimiento09	72	START	1591090558311	1591090558311
REQUEST	72		Home	1591090558313	1591090558324	OK	 
REQUEST	35		Login	1591090558389	1591090558392	OK	 
USER	rendimiento09	73	START	1591090558450	1591090558450
REQUEST	73		Home	1591090558451	1591090558462	OK	 
REQUEST	36		Login	1591090558538	1591090558542	OK	 
USER	rendimiento09	74	START	1591090558600	1591090558600
REQUEST	74		Home	1591090558602	1591090558614	OK	 
REQUEST	37		Login	1591090558668	1591090558672	OK	 
USER	rendimiento09	75	START	1591090558738	1591090558738
REQUEST	75		Home	1591090558739	1591090558744	OK	 
REQUEST	38		Login	1591090558789	1591090558791	OK	 
USER	rendimiento09	76	START	1591090558880	1591090558880
REQUEST	76		Home	1591090558881	1591090558890	OK	 
